Ref,Val,Package,PosX,PosY,Rot,Side
"R12","47","R_0402_1005Metric",-31.000000,-7.500000,0.000000,bottom
"R13","47","R_0402_1005Metric",4.200000,9.325000,-90.000000,bottom
"R14","47","R_0402_1005Metric",-31.000000,-6.000000,0.000000,bottom
"R15","47","R_0402_1005Metric",-13.005000,-10.650000,180.000000,bottom
"R16","100k","R_0402_1005Metric",-26.220420,8.757920,-90.000000,bottom
"R17","100k","R_0402_1005Metric",-19.901040,13.827760,0.000000,bottom
"R18","100k","R_0402_1005Metric",6.731000,8.128000,180.000000,bottom
"R19","100k","R_0402_1005Metric",-12.773520,-3.637280,0.000000,bottom
"R20","100k","R_0402_1005Metric",-26.031520,12.927940,90.000000,bottom
"R21","100k","R_0402_1005Metric",-26.500000,-6.000000,0.000000,bottom
"R22","47","R_0402_1005Metric",-13.005000,-9.652000,180.000000,bottom
"R23","47","R_0402_1005Metric",8.869620,-8.550000,0.000000,bottom
"R24","1k","R_0402_1005Metric",7.620000,-22.606000,180.000000,bottom
"R25","1k","R_0402_1005Metric",2.009140,-11.536680,180.000000,bottom
"R26","10k","R_0402_1005Metric",-4.968240,-24.069040,90.000000,bottom
"R27","10k","R_0402_1005Metric",-31.369000,-25.400000,0.000000,bottom
"R28","10k","R_0402_1005Metric",-26.289000,-26.162000,0.000000,bottom
"R29","10k","R_0402_1005Metric",-29.337000,-26.924000,90.000000,bottom
"R30","10k","R_0402_1005Metric",-28.067000,-26.924000,90.000000,bottom
"R31","10k","R_0402_1005Metric",-41.795000,-1.290000,0.000000,bottom
"R32","10k","R_0402_1005Metric",-46.680000,-6.775000,90.000000,bottom
"R33","47","R_0402_1005Metric",-26.500000,-2.140000,0.000000,bottom
"R34","4.7k","R_0402_1005Metric",7.187960,12.725400,-90.000000,bottom
"R35","10k","R_0402_1005Metric",-18.230000,14.475000,90.000000,bottom
"R36","10k","R_0402_1005Metric",-41.000000,-8.250000,-90.000000,bottom
"R37","10k","R_0402_1005Metric",5.394720,16.332200,-90.000000,bottom
"R38","10k","R_0402_1005Metric",30.000000,2.365000,-90.000000,bottom
"R39","45.3k","R_0402_1005Metric",30.009720,0.261600,90.000000,bottom
"R40","4.7k","R_0402_1005Metric",-8.390000,-20.425000,90.000000,bottom
"R41","10k","R_0402_1005Metric",-33.020000,-26.924000,-90.000000,bottom
"R42","45.3k","R_0402_1005Metric",28.510520,-2.801600,-90.000000,bottom
"R43","4.7k","R_0402_1005Metric",29.935000,10.755000,0.000000,bottom
"R44","4.7k","R_0402_1005Metric",29.880320,12.623800,-90.000000,bottom
"R45","10k","R_0402_1005Metric",-34.163000,-26.924000,90.000000,bottom
"R46","4.7","R_0402_1005Metric",-38.608000,-37.592000,90.000000,bottom
"R47","4.7k","R_0402_1005Metric",-0.210000,3.805000,-90.000000,bottom
"R48","4.7k","R_0402_1005Metric",5.600000,0.655000,90.000000,bottom
"R49","4.7k","R_0402_1005Metric",-1.560000,3.810000,-90.000000,bottom
"R50","10k","R_0402_1005Metric",54.000000,6.500000,0.000000,bottom
"R51","47","R_0402_1005Metric",62.242500,5.390000,180.000000,bottom
"R52","4.7","R_0402_1005Metric",-25.400000,-37.592000,90.000000,bottom
"R53","1k","R_0402_1005Metric",15.200000,-45.100000,180.000000,bottom
"R54","22","R_0402_1005Metric",58.813500,5.390000,180.000000,bottom
"R56","1k","R_0402_1005Metric",15.200000,-43.850000,0.000000,bottom
"R57","10k","R_0402_1005Metric",-8.200000,15.190100,0.000000,bottom
"R58","10k","R_0402_1005Metric",-26.307200,-19.900000,-90.000000,bottom
"R59","100k","R_0402_1005Metric",16.200000,-35.215000,-90.000000,bottom
"R60","45.3k","R_0402_1005Metric",-8.200000,16.390100,180.000000,bottom
"R61","10k","R_0402_1005Metric",-27.507200,-19.900000,90.000000,bottom
"R62","10k","R_0402_1005Metric",21.251620,-39.542580,180.000000,bottom
"R63","4.7k","R_0402_1005Metric",17.805000,-33.710000,0.000000,bottom
"R64","10k","R_0402_1005Metric",32.810000,16.740000,180.000000,bottom
"R67","10k","R_0402_1005Metric",32.923060,11.329700,180.000000,bottom
"R68","10k","R_0402_1005Metric",38.950900,18.651220,90.000000,bottom
"R77","10k","R_0402_1005Metric",54.000000,5.500000,0.000000,bottom
"RN1","47","R_Array_Convex_4x0603",-28.790900,9.171940,90.000000,bottom
"RN2","100k","R_Array_Convex_4x0603",-12.458700,-0.816460,0.000000,bottom
"RN3","100k","R_Array_Convex_4x0603",-12.458700,3.177540,0.000000,bottom
"RN4","47","R_Array_Convex_4x0603",-52.298660,5.590680,180.000000,bottom
"RN5","47","R_Array_Convex_4x0603",-54.570000,-1.430000,180.000000,bottom
"RN6","100k","R_Array_Convex_4x0603",7.123000,-29.775000,0.000000,bottom
"RN7","47","R_Array_Convex_4x0603",-11.919890,-30.430000,180.000000,bottom
"SW7","Switch","SW_SPDT_PCM12",24.272252,-45.112647,175.000000,bottom
"SW8","Switch","SW_SPDT_PCM12",-23.017389,-44.858647,-175.000000,bottom
"SW9","DNP","1TS009",-18.034000,-19.812000,180.000000,bottom
